==6138== NVPROF is profiling process 6138, command: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6138== Profiling application: ./build/lulesh/cuda/lulesh -s 10 0 100
==6138== Profiling result:
==6138== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gld_throughput","Global Load Throughput",23.989188GB/s,24.294186GB/s,24.149211GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"gst_throughput","Global Store Throughput",4.731452GB/s,4.791607GB/s,4.763014GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"tex_cache_hit_rate","Unified Cache Hit Rate",29.224367%,29.224367%,29.224367%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"tex_cache_throughput","Unified Cache Throughput",20.544691GB/s,20.805896GB/s,20.681738GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",23.989188GB/s,24.294186GB/s,24.149211GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",4.731452GB/s,4.791607GB/s,4.763014GB/s
"NVIDIA GeForce GTX 1060 (0)","_ZN6alpaka6detail9gpuKernelIN19lulesh_port_kernels48CalcKinematicsAndMonotonicQGradient_kernel_classENS_9ApiCudaRtENS_22AccGpuUniformCudaHipRtIS4_St17integral_constantImLm1EEmEES7_mJEEEvNS_3VecIT2_T3_EET_DpT4_",100,"l2_read_throughput","L2 Throughput (Reads)",24.303136GB/s,25.709553GB/s,24.801671GB/s
